Code;Name area;Number ;Full name;Address;Head;Phone code;Contact number;E-mail;Website;Russian language,amount OGE;Russian language,GPA OGE;Russian language,spravlyaemost OGE;Mathematics,amount OGE;Mathematics,GPA OGE;Mathematics,spravlyaemost OGE;Russian language,amount EGE;Russian language,GPA EGE;Russian language,spravlyaemost EGE;Mathematics profil,amount EGE;Mathematics profil,GPA EGE;Mathematics profil,spravlyaemost EGE;Mathematics base,amount EGE;Mathematics base,GPA EGE;Mathematics base,spravlyaemost EGE;Physics,amount EGE;Physics,GPA EGE;Physics,spravlyaemost EGE;Chemistry,amount EGE;Chemistry,GPA EGE;Chemistry,spravlyaemost EGE;Computer science,amount EGE;Computer science,GPA EGE;Computer science,spravlyaemost EGE;Biology,amount EGE;Biology,GPA EGE;Biology,spravlyaemost EGE;History,amount EGE;History,GPA EGE;History,spravlyaemost EGE;Geography,amount EGE;Geography,GPA EGE;Geography,spravlyaemost EGE;English,amount EGE;English,GPA EGE;English,spravlyaemost EGE;Social Studies,amount EGE;Social Studies,GPA EGE;Social Studies,spravlyaemost EGE;Literature,amount EGE;Literature,GPA EGE;Literature,spravlyaemost EGE;Lat;Long
762102;Большесельский;;Муниципальное общеобразовательное учреждение Благовещенская средняя общеобразовательная школа;152363, Ярославская обл., Большесельский р-н, п/о Борисовское, с. Благовещенье;Грачева Светлана Константиновна;48542;24622;blagovest63@mail.ru;http://blag-bol.edu.yar.ru;6;29,8;100;6;16,8;100;2;80;100;2;47;100;2;5;100;-;-;-;-;-;-;-;-;-;-;-;-;2;52,5;100;-;-;-;-;-;-;2;65;100;-;-;-;57.822275;39.105245
762103;Большесельский;;Муниципальное общеобразовательное учреждение Большесельская средняя общеобразовательная школа;152360, Ярославская обл., Большесельский р-н, с. Большое Село, ул. Сурикова, д.9;Дьячкова Елена Юрьевна;48542;21884, 21434;bschool@inbox.ru;http://shbol.edu.yar.ru;43;31,9;100;43;16,7;100;17;69,9;100;16;48;93,8;12;4,4;100;5;52,2;100;-;-;-;3;63,3;100;4;47,8;100;1;57;100;-;-;-;1;78;100;10;54,2;90;-;-;-;57.717542;38.94
762104;Большесельский;;Муниципальное общеобразовательное учреждение Вареговская средняя общеобразовательная школа;152385, Ярославская обл., Большесельский р-н, п/о Варегово, с. Варегово, ул. Школьная, д.1;Макарова Людмила Васильевна;48542;25588;varegovoschule@mail.ru;http://varg-bol.edu.yar.ru;5;33,2;100;5;20,8;100;4;63,5;100;4;33,3;75;4;4;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;55;100;-;-;-;57.776505;39.281441
762105;Большесельский;;Муниципальное общеобразовательное учреждение Высоковская основная общеобразовательная школа;152374, Ярославская обл., Большесельский р-н, д. Высоково, ул. Романова, д.19;Чирикова Светлана Петровна;48542;24530;vysokov-shkola@yandex.ru;http://vysokovo-school.edu.yar.ru;1;34;100;1;15;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.606737;38.911218
762108;Большесельский;;Муниципальное общеобразовательное учреждение Дуниловская основная общеобразовательная школа;152381, Ярославская обл., Большесельский р-н, п/о Дунилово, д. Дунилово, ул. Пионерская, д.5;Шашлова Светлана Александровна;48542;24318;schooldun@mail.ru;http://dunil-bol.edu.yar.ru/;3;30;100;3;14,7;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.75701;38.935428
762110;Большесельский;;Муниципальное общеобразовательное учреждение Миглинская основная общеобразовательная школа;152367, Ярославская обл., Большесельский р-н, д. Миглино, ул. Мира, д.1а ;Горохова Любовь Павловна;48542;24737;miglino-shkola@yandex.ru;http://migl-bol.edu.yar.ru;4;33,5;100;4;20,3;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.69269;39.136579
762112;Большесельский;;Муниципальное общеобразовательное учреждение Новосельская средняя общеобразовательная школа;152370, Ярославская обл., Большесельский р-н, с. Новое Село, ул. Октябрьская, д.3;Селиванова Алла Александровна;48542;26437;nowchool@mail.ru;http://novs-bol.edu.yar.ru;14;32,2;100;14;18,9;100;6;61,8;100;4;45,3;75;4;4;100;-;-;-;-;-;-;-;-;-;2;35;50;1;68;100;-;-;-;-;-;-;3;62,3;100;-;-;-;57.801912;38.998858
762201;Борисоглебский;;Муниципальное общеобразовательное учреждение Андреевская средняя общеобразовательная школа;152197, Ярославская обл., Борисоглебский р-н, д. Андреевское, ул. Молодежная, д.8;Полетаев Владимир Васильевич;48539;35547;ASOSH92@mail.ru;http://andr-bor.edu.yar.ru;9;29,7;100;9;15,2;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.30752;39.234091
762202;Борисоглебский;;Муниципальное общеобразовательное учреждение Березниковская основная общеобразовательная школа;152183, Ярославская обл., Борисоглебский р-н, д. Березники, ул. Центральная, д.46;Филимонова Наталия Юрьевна;48539;37124;shkola-berezniki@mail.ru;http://bereza.edu.yar.ru;7;31;100;7;18,1;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.156797;38.897591
762203;Борисоглебский;1;Муниципальное общеобразовательное учреждение Борисоглебская средняя общеобразовательная школа № 1;152170, Ярославская обл., Борисоглебский р-н, пос. Борисоглебский, ул. Октябрьская, д.46;Огурцов Алексей Константинович;48539;21217;borgl1@mail.ru;http://borgl1.edu.yar.ru/;22;30,8;100;22;16,7;95,5;9;67,7;100;8;52,5;100;8;4,1;100;-;-;-;2;56;100;-;-;-;1;58;100;1;54;100;-;-;-;-;-;-;6;50,8;100;1;71;100;57.254923;39.139094
762204;Борисоглебский;2;Муниципальное общеобразовательное учреждение Борисоглебская средняя общеобразовательная школа № 2;152170, Ярославская обл., Борисоглебский р-н, пос. Борисоглебский, ул. Победы, д.1а;Зимина Наталья Алексеевна;48539;21221;bg2@bk.ru;http://bgschool2.ru;31;31,7;100;31;20,4;100;21;66,8;100;19;60,8;100;21;4,7;100;9;52,6;100;1;53;100;1;44;100;2;66;100;4;54;100;-;-;-;2;48;100;14;57;100;-;-;-;57.268577;39.168604
762205;Борисоглебский;;Муниципальное общеобразовательное учреждение Вощажниковская средняя общеобразовательная школа;152174, Ярославская обл., Борисоглебский р-н, с. Вощажниково, ул. Советская, д.100;Чистова Татьяна Викторовна;48539;33506;wshool@yandex.ru;http://wschool76.edusite.ru;17;31,4;100;17;15,8;100;11;67,8;100;11;47,5;81,8;11;4,5;100;2;48,5;100;1;36;100;1;57;100;1;42;100;5;63,2;100;-;-;-;-;-;-;10;58,9;90;-;-;-;57.36056;39.139498
762206;Борисоглебский;;Муниципальное общеобразовательное учреждение Высоковская средняя общеобразовательная школа;152194, Ярославская обл., Борисоглебский р-н, с. Высоково, ул. Липовая, д.4;Громцева Марина Валентиновна;48539;37423;visokovoschool@yandex.ru;http://vysk-bor.edu.yar.ru;9;30,9;100;9;15,7;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.240904;38.748515
762208;Борисоглебский;;Муниципальное общеобразовательное учреждение Ивановская средняя общеобразовательная школа;152192, Ярославская обл., Борисоглебский р-н, с. Ивановское, д.23;Мартышин Владимир Сергеевич;48539;45344;ish-adm@yandex.ru;http://ivan-shkola.ru;17;29,4;100;17;14,4;100;13;69,4;100;13;39,5;84,6;13;4,2;100;2;54;100;2;61,5;100;1;50;100;3;64;100;2;60;100;-;-;-;-;-;-;7;48;85,7;1;72;100;57.309814;38.932652
762210;Борисоглебский;;Муниципальное общеобразовательное учреждение Краснооктябрьская средняя общеобразовательная школа;152191, Ярославская обл., Борисоглебский р-н, пос. Красный Октябрь, ул. Первомайская, д.1;Спехова Анна Александровна;48539;36687;pedagog1306@ya.ru;http://koct-bor.edu.yar.ru;6;28,2;100;3;17,3;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.325013;39.012566
762220;Борисоглебский;;Муниципальное общеобразовательное учреждение Яковцевская основная общеобразовательная школа;152172, Ярославская обл., Борисоглебский р-н, с. Яковцево, ул. Елисеевская, д.1;Жарова Любовь Алексеевна;48539;35644;jakovschool@yandex.ru;http://yakov-shbor.edu.yar.ru;5;27;100;5;14,6;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.359337;39.293218
762302;Брейтовский;;Муниципальное образовательное учреждение Брейтовская средняя общеобразовательная школа;152760, Ярославская обл., Брейтовский р-н, с. Брейтово, ул. Республиканская, д.54 ;Нефёдова Светлана Михайловна;48545;21286;breytovoschool@mail.ru;http://76412sbrschool.edusite.ru;30;31,9;100;30;16,2;100;38;70,8;100;25;45,4;88;35;4,1;100;2;52,5;100;5;49;100;1;53;100;10;51,4;100;2;34,5;100;-;-;-;-;-;-;20;47,5;80;-;-;-;58.292203;37.85912
762303;Брейтовский;;Муниципальное образовательное учреждение Гореловская основная общеобразовательная школа;152771, Ярославская обл., Брейтовский р-н, с. Горелово, п/о Горелово, ул. Школьная, д.18;Данилова Галина Алексеевна;48545;23180;gorelowskaya.shkola@yandex.ru;http://76416s005.edusite.ru;11;33,7;100;11;16,5;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.236925;38.116578
762313;Брейтовский;;муниципальное образовательное учреждение Покрово-Ситская средняя общеобразовательная школа;152763, Ярославская обл., Брейтовский р-н, п/о Покровское на Сити, с. Покровское на Сити, ул. Школьная, д.3;Виноградова Светлана Владимировна;48545;31249;sitischool-agro@mail.ru;http://76416s003.edusite.ru;6;32,8;100;6;15,7;100;4;54,5;100;-;-;-;4;3,3;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;47,3;100;-;-;-;58.300551;37.858204
762314;Брейтовский;;муниципальное образовательное учреждение Прозоровская средняя общеобразовательная школа;152766, Ярославская обл., Брейтовский р-н, п/о Прозорово, с. Прозорово, ул. Школьная, д.37;Карпушина Ирина Александровна;48545;31303;prozorovo@mail.ru;http://prozopovo-brt.edu.yar.ru;6;31,8;100;6;15,3;100;8;62,8;100;6;24;33,3;8;3,5;87,5;-;-;-;-;-;-;-;-;-;5;48;100;1;50;100;-;-;-;-;-;-;7;51,9;100;1;56;100;58.388129;37.653927
762409;Гаврилов-Ямский;;"Муниципальное общеобразовательное учреждение ""Великосельская средняя школа Гаврилов-Ямского муниципального района""";152250, Ярославская обл., Гаврилов-Ямский р-н, с. Великое, ул. Некрасовская, д.1;Ежикова Марина Станиславовна;48534;38144;velikoeschool@gmail.com;http://www.velikoeschool.ru;15;32,5;100;15;17,7;100;7;77,4;100;5;58,2;100;2;2,5;50;-;-;-;2;58,5;100;-;-;-;2;75;100;2;45;100;-;-;-;1;44;100;5;51;80;-;-;-;57.350301;39.765983
762410;Гаврилов-Ямский;;"Муниципальное общеобразовательное учреждение ""Вышеславская основная школа""";152244, Ярославская обл., Гаврилов-Ямский р-н, д. Прошенино, ул. Школьная, д.29;Груздева Вера Васильевна;48534;35646;proshenino@yandex.ru;http://vyshs-gav.edu.yar.ru;2;38;100;2;21,5;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.376451;39.992224
762413;Гаврилов-Ямский;;"Муниципальное общеобразовательное бюджетное учреждение ""Ильинская основная школа""";152254, Ярославская обл., Гаврилов-Ямский р-н, с. Ильинское-Урусово, ул. Почтовая, д.17;Сухих Ольга Анатольевна;48534;36410;urusovka2@rambler.ru;http://ilin-gav.edu.yar.ru;3;30,7;100;3;15,7;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.4146;39.42934
762415;Гаврилов-Ямский;;"Муниципальное общеобразовательное бюджетное учреждение ""Митинская основная школа""";152230, Ярославская обл., Гаврилов-Ямский р-н, с. Митино, ул. Колхозная, д.20;Лукьянова Ольга Алексеевна;48534;34127 - квартира;mitino-school@rambler.ru;http://mitino-gav.edu.yar.ru;1;26;100;1;16;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.336163;40.268662
762420;Гаврилов-Ямский;;"Муниципальное образовательное бюджетное учреждение ""Полянская основная школа""";152250, Ярославская обл., Гаврилов-Ямский р-н, д. Поляна, ул. Клубная, д.10;Морозкова Ольга Витальевна;48534;36135;pol-school@rambler.ru;http://poln-gav.edu.yar.ru;3;33;100;3;19;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.387193;39.773861
762421;Гаврилов-Ямский;;"Муниципальное общеобразовательное бюджетное учреждение ""Пружининская средняя школа""";152236, Ярославская обл., Гаврилов-Ямский р-н, с. Пружинино, ул. Центральная, д.41;Бучнева Анна Борисовна;48534;34115;pruzhinino-edu@yandex.ru;http://pruzh-gav.edu.yar.ru;5;35,6;100;5;16,8;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.296142;40.173809
762423;Гаврилов-Ямский;;"Муниципальное общеобразовательное бюджетное учреждение ""Стогинская средняя школа""";152231, Ярославская обл., Гаврилов-Ямский р-н, с. Стогинское, ул. Центральная, д.16;Большакова Светлана Геннадьевна;48534;35132;stog-school@rambler.ru;http://stog-gav.edu.yar.ru;3;35,3;100;3;18;100;3;69;100;3;47;100;3;4,3;100;2;36,5;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;31,3;0;-;-;-;57.236998;40.053776
762426;Гаврилов-Ямский;;"Муниципальное общеобразовательное бюджетное учреждение ""Шопшинская средняя школа""";152252, Ярославская обл., Гаврилов-Ямский р-н, с. Шопша, ул. Центральная, д.5;Абрамова Майя Александровна;48534;32731;sop-school@rambler.ru;http://shopsh-gav.edu.yar.ru/;8;32,6;100;8;17,5;100;2;62;100;2;42;100;2;4;100;1;41;100;1;41;100;-;-;-;1;73;100;-;-;-;-;-;-;-;-;-;2;58,5;100;-;-;-;57.423281;39.641602
762509;Даниловский;;Муниципальное бюджетное образовательное учреждение Дмитриевская средняя общеобразовательная школа;152060, Ярославская обл., Даниловский р-н, с. Дмитриевское, ул. Южная, д.28;Ремизова Елена Владимировна;48538;33119;dmitr.schkola@yandex.ru;http://76308s023.edusite.ru;7;32,6;100;7;17,1;100;9;68,8;100;8;55;87,5;2;3,5;100;1;56;100;-;-;-;2;67;100;1;72;100;1;75;100;-;-;-;-;-;-;6;62,3;100;-;-;-;57.996439;40.177744
762515;Даниловский;;муниципальное бюджетное образовательное учреждение Макаровская средняя общеобразовательная школа ;152077, Ярославская обл., Даниловский р-н, д. Макарово, ул. Вологодская, д.18 ;Пучков Владимир Михайлович;48538;35527;makarovosohs@mail.ru;http://76308s024.edusite.ru;7;30;100;7;12;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.311445;40.214862
762518;Даниловский;;муниципальное образовательное бюджетное учреждение Покровская основная общеобразовательная школа ;152075, Ярославская обл., Даниловский р-н, с. Покров, ул. Школьная, д.11 ;Короткова Марина Юрьевна;48538;33280;pokroosh@mail.ru;http://www.76308s017.edusite.ru;2;23;100;2;14;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.250875;40.296465
762521;Даниловский;;Муниципальное бюджетное образовательное учреждение средняя общеобразовательная школа имени Мичурина ;152063, Ярославская обл., Даниловский р-н, д. Семлово, ул. Школьная, д.5 ;Головяшкина Надежда Васильевна;48538;32420;imMichurina@mail.ru;http://76308s026.edusite.ru;10;30,9;100;10;17,8;100;5;66,6;100;4;50,5;100;2;3,5;100;3;48,7;100;-;-;-;-;-;-;-;-;-;1;51;100;-;-;-;-;-;-;1;62;100;-;-;-;58.085362;40.359644
762523;Даниловский;;муниципальное образовательное учреждение Середская средняя общеобразовательная школа ;152061, Ярославская обл., Даниловский р-н, с. Середа, ул. Октябрьская, д.34 ;Абрамова Надежда Валентиновна;48538;31110;seredskayshkola@mail.ru;http://seredskayshkola.edu.yar.ru;6;28,5;100;6;14,5;100;4;58;100;4;29,5;50;4;4,3;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;57,5;100;-;-;-;58.001418;40.439872
762525;Даниловский;;Муниципальное бюджетное образовательное учреждение Скоковская средняя общеобразовательная школа Даниловского района Ярославской области;152084, Ярославская обл., Даниловский р-н, д. Туфаново, ул. Колхозная, д.3 ;Тихомирова Татьяна Владимировна;48538;34116;skokovo-shool@yandex.ru;http://76308s025.edusite.ru;10;28,9;100;10;15,2;100;4;57,8;100;1;18;0;4;3,5;100;-;-;-;-;-;-;-;-;-;1;48;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.993014;40.037167
762526;Даниловский;;муниципальное образовательное учреждение Спасская средняя общеобразовательная школа ;152090, Ярославская обл., Даниловский р-н, с. Спас, ул. Школьная, д.2 ;Галецкая Валентина Николаевна;48538;33673;spas_shcool@mail.ru;http://www.76308s022.edusite.ru;1;36;100;1;20;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.20909;39.890319
762528;Даниловский;;муниципальное образовательное бюджетное учреждение Тороповская основная общеобразовательная школа ;152081, Ярославская обл., Даниловский р-н, с. Торопово, ул. Рабочая, д.2 ;Орлова Светлана Дмитриевна;48538;33431;toropovoschool@mail.ru;http://www.76308s018.edusite.ru;9;29;100;9;10,6;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.132273;39.953066
762529;Даниловский;;муниципальное образовательное учреждение Трофимовская основная общеобразовательная школа Даниловского района Ярославской области;152065, Ярославская обл., Даниловский р-н, д. Манжаково, ул. Солнечная, д.1а;Гоборова Марина Альбертовна;48538;33734;Trofimovososch@mail.ru;http://76308s019.edusite.ru;2;28;100;2;11;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.903531;40.295531
762532;Даниловский;;филиал муниципального образовательного учреждения Спасская средняя общеобразовательная школа - Шаготская основная общеобразовательная школа ;152091, Ярославская обл., Даниловский р-н, с. Шаготь, ул. Механизаторов, д.2;Ассонов Николай Михайлович;48538;34218;assonovn@yandex.ru;;5;29,8;100;5;12,4;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.199279;39.619252
762601;Любимский;;Муниципальное общеобразовательное учреждение Бармановская основная общеобразовательная школа ;152476, Ярославская обл., Любимский р-н, с. Троица, ул. Молодежная, д.3;Ершова Тамара Витальевна;48543;32116;moubarman@mail.ru;http://barman-lub.edu.yar.ru;3;27,3;100;3;15,7;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.497782;40.706915
762605;Любимский;;Муниципальное общеобразовательное учреждение Ермаковская средняя общеобразовательная школа ;152490, Ярославская обл., Любимский р-н, д. Ермаково, ул. Центральная, д.17/1;Заварина Наталья Михайловна;48543;24114;erlub@list.ru;http://ermak-lub.edu.yar.ru;10;31,4;100;10;16,1;100;4;73,8;100;3;57,3;100;1;3;100;3;48,3;100;-;-;-;-;-;-;-;-;-;1;41;100;-;-;-;-;-;-;2;66,5;100;-;-;-;58.322175;41.009386
762606;Любимский;;Муниципальное общеобразовательное учреждение Закобякинская средняя общеобразовательная школа ;152482, Ярославская обл., Любимский р-н, с. Закобякино, ул. Школьная, д.5;Савушкина Галина Владимировна;48543;25168;sakobyakino@yandex.ru;http://zakb-lub.edu.yar.ru;11;31,9;100;11;16,7;100;6;62,7;100;3;46,7;100;3;3,7;100;1;47;100;-;-;-;1;59;100;4;48;100;1;62;100;-;-;-;-;-;-;3;50,3;66,7;-;-;-;58.104279;40.725213
762618;Любимский;;Муниципальное образовательное учреждение Страшевская основная общеобразовательная школа ;152470, Ярославская обл., Любимский р-н, д. Страшево, ул. Трудовая, д.19/2 ;Добрякова Надежда Ивановна;48543;21543;strashevo-shkola@yandex.ru;http://strash-lub.edu.yar.ru;2;33;100;2;14;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.281175;40.443232
762619;Любимский;;Муниципальное общеобразовательное учреждение Филипповская основная общеобразовательная школа ;152461, Ярославская обл., Любимский р-н, с. Филиппово, ул. Школьная, д.1;Железнякова Ирина Александровна;48543;33753;shkou@yandex.ru;http://filip-lub.edu.yar.ru;2;33;100;2;19,5;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.349274;41.137019
762708;Мышкинский;;муниципальное образовательное учреждение Крюковская основная общеобразовательная школа ;152841, Ярославская обл., Мышкинский р-н, д. Крюково, ул. Центральная, д.10;Ледкова Валентина Евгеньевна;48544;31626, 31639;kryukovoschool@mail.ru;http://kryukov-msh.edu.yar.ru;3;28,7;100;3;13,7;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.834557;38.249735
762715;Мышкинский;;муниципальное образовательное учреждение Рождественская средняя общеобразовательная школа ;152845, Ярославская обл., Мышкинский р-н, с. Рождествено, ул. Школьная, д.11;Карасева Татьяна Александровна;48544;24538;mourssh@yandex.ru;http://76418s004.edusite.ru;13;33,5;100;13;16,6;100;5;42,4;80;4;16;0;5;2,6;60;-;-;-;-;-;-;-;-;-;1;42;100;-;-;-;-;-;-;-;-;-;1;31;0;-;-;-;57.728577;37.942637
762718;Мышкинский;;муниципальное образовательное учреждение Шипиловская основная общеобразовательная школа ;152843, Ярославская обл., Мышкинский р-н, с. Шипилово, ул. Школьная, д.2;Орлова Татьяна Васильевна;48544;27741;shi-shkola@yandex.ru;http://ship-msh.edu.yar.ru;6;26,8;100;6;14,3;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.760323;38.212545
762802;Некоузский;;муниципальное образовательное учреждение Борковская средняя общеобразовательная школа с углубленным изучением иностранных языков имени И.Д. Папанина ;152742, Ярославская обл., Некоузский р-н, пос. Борок, д. 134 ;Соколова Ольга Александровна;48547;24308;borkovskaya-shkola@yandex.ru;http://borokshkola.ucoz.ru;15;29,5;100;15;15,7;100;5;63,2;100;3;58,3;100;5;4,2;100;3;54,7;100;-;-;-;-;-;-;1;59;100;-;-;-;-;-;-;-;-;-;2;53;100;-;-;-;58.063588;38.235901
762804;Некоузский;;Муниципальное общеобразовательное учреждение Волжская средняя общеобразовательная школа ;152750, Ярославская обл., Некоузский р-н, пос. Волга, ул. Линейная, д.3 ;Иванова Ирина Анатольевна;48547;26493;volga-school@mail.ru;http://volz-shnkz.edu.yar.ru/;10;33,8;100;10;18,1;100;5;86;100;4;64,5;100;2;4,5;100;-;-;-;1;65;100;1;61;100;1;72;100;-;-;-;-;-;-;-;-;-;4;63;100;-;-;-;57.949077;38.390267
762806;Некоузский;;муниципальное общеобразовательное учреждение Воскресенская средняя общеобразовательная школа ;152710, Ярославская обл., Некоузский р-н, с. Воскресенское, ул. Центральная, д.37 ;Антонова Мария Ивановна;48547;31472;nekvocosh@yandex.ru;http://vosk-shnkz.edu.yar.ru/;4;31;100;4;13,8;100;1;48;100;1;14;0;1;3;100;-;-;-;-;-;-;-;-;-;1;44;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.115091;38.047785
762808;Некоузский;;Муниципальное общеобразовательное учреждение Лацковская основная общеобразовательная школа ;152739, Ярославская обл., Некоузский р-н, с. Лацкое, ул. Центральная, д.36 ;Воробьёва Елена Владимировна;48547;32338;scool-lackoe@yandex.ru;http://lackoe.schools.by;4;31,3;100;4;14,8;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58.077544;38.128696
762809;Некоузский;;Муниципальное общеобразовательное учреждение Марьинская основная общеобразовательная школа ;152741, Ярославская обл., Некоузский р-н, м. Андреевское, д.46 ;Галкина Лидия Владимировна;48547;33444;marjinsckaya@yandex.ru;http://marjinoschool.edusite.ru;4;29,3;100;4;19,5;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.953853;37.894262
762810;Некоузский;;муниципальное общеобразовательное учреждение Мокеевская средняя общеобразовательная школа ;152701, Ярославская обл., Некоузский р-н, с. Мокеиха, ул. Вокзальная, д.6 ;Соколова Лидия Яковлевна;48547;23213;mokeiha.sosh@yandex.ru;http://moksosh.ru/;3;31,7;100;3;13,7;100;2;71,5;100;1;55;100;1;4;100;-;-;-;-;-;-;-;-;-;2;59;100;1;69;100;-;-;-;-;-;-;2;54;100;-;-;-;57.943827;37.394521
762811;Некоузский;;Муниципальное образовательное учреждение Некоузская вечерняя (сменная) общеобразовательная школа ;152730, Ярославская обл., Некоузский р-н, с. Новый Некоуз, ул. Колхозная, д.42 ;Лебедева Елена Валентиновна;48547;21199;oly6755@yandex.ru;http://vsh-nkz.edu.yar.ru;4;26,3;100;4;13,3;100;4;45,3;100;1;23;0;4;3,3;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;51;100;-;-;-;57.905166;38.072443
762813;Некоузский;;муниципальное общеобразовательное учреждение Некоузская средняя общеобразовательная школа ;152730, Ярославская обл., Некоузский р-н, с. Новый Некоуз, ул. Советская, д.38 ;Бесперстова Валентина Александровна;48547;21080;skol1994@mail.ru;http://sch-nkz.edu.yar.ru;44;32,5;100;44;18,9;100;18;66,4;100;14;46,1;85,7;6;3,8;100;6;60,2;100;3;50;100;3;65;100;5;50;80;2;61,5;100;-;-;-;1;50;100;10;60,8;100;-;-;-;57.901833;38.059975
762815;Некоузский;;муниципальное общеобразовательное учреждение Октябрьская средняя общеобразовательная школа ;152700, Ярославская обл., Некоузский р-н, пос. Октябрь, ул. Ленина, д.11 ;Парфентьев Олег Витальевич;48547;31240;oktjabrskaja.sosh@rambler.ru;http://oktschool.edu.yar.ru/;8;34,8;100;8;22;100;5;72,8;100;5;54,8;100;-;-;-;1;43;100;2;67;100;1;59;100;1;85;100;-;-;-;-;-;-;-;-;-;2;65;100;-;-;-;57.822466;37.385861
